iter	Passed	Remaining
0	29	8966
1	37	5653
2	216	21435
3	324	24001
4	390	23036
5	403	19768
6	526	22053
7	536	19569
8	584	18908
9	704	20440
10	775	20379
11	885	21244
12	1112	24556
13	1240	25350
14	1305	24798
15	1426	25319
16	1512	25171
17	1642	25739
18	1656	24503
19	1666	23333
20	2003	26615
21	2012	25430
22	2025	24388
23	2374	27310
24	2389	26282
25	2403	25324
26	2630	26597
27	2696	26195
28	2764	25829
29	2913	26219
30	2965	25731
31	3048	25535
32	3091	25009
33	3289	25735
34	3322	25154
35	3393	24889
36	3541	25175
37	3661	25245
38	3675	24595
39	3685	23957
40	3695	23343
41	3917	24066
42	4103	24524
43	4171	24268
44	4221	23921
45	4313	23816
46	4451	23962
47	4559	23935
48	4633	23735
49	4690	23452
50	4700	22949
51	4853	23147
52	4971	23170
53	5072	23106
54	5145	22921
55	5244	22849
56	5402	23029
57	5549	23153
58	5664	23137
59	5684	22737
60	5855	22941
61	5911	22690
62	5920	22272
63	6120	22570
64	6181	22348
65	6257	22187
66	6287	21865
67	6459	22037
68	6492	21734
69	6640	21819
70	6699	21608
71	6747	21366
72	6896	21444
73	7058	21557
74	7075	21225
75	7145	21060
76	7241	20972
77	7336	20881
78	7395	20687
79	7464	20528
80	7565	20455
81	7676	20408
82	7719	20183
83	7809	20082
84	7929	20057
85	8001	19910
86	8102	19837
87	8270	19925
88	8280	19630
89	8302	19372
90	8466	19445
91	8602	19449
92	8733	19438
93	8824	19339
94	8936	19284
95	9039	19208
96	9132	19112
97	9163	18888
98	9392	19069
99	9402	18804
100	9582	18880
101	9620	18675
102	9631	18420
103	9825	18517
104	9995	18563
105	10007	18314
106	10016	18067
107	10183	18104
108	10267	17991
109	10275	17749
110	10431	17761
111	10456	17552
112	10623	17579
113	10694	17448
114	10801	17376
115	10818	17160
116	11033	17256
117	11145	17190
118	11228	17078
119	11318	16978
120	11345	16783
121	11498	16776
122	11624	16728
123	11665	16557
124	11782	16494
125	11815	16316
126	11968	16303
127	12076	16227
128	12160	16119
129	12169	15913
130	12208	15750
131	12358	15729
132	12491	15685
133	12549	15545
134	12654	15466
135	12708	15325
136	12770	15194
137	12882	15122
138	12941	14990
139	12979	14833
140	13133	14810
141	13143	14624
142	13296	14598
143	13404	14521
144	13544	14478
145	13720	14472
146	13755	14316
147	13908	14284
148	14030	14219
149	14050	14050
150	14066	13880
151	14223	13848
152	14350	13787
153	14367	13621
154	14591	13649
155	14599	13476
156	14773	13456
157	14901	13392
158	14917	13229
159	15082	13197
160	15093	13030
161	15237	12980
162	15374	12921
163	15399	12770
164	15552	12724
165	15569	12568
166	15693	12498
167	15817	12428
168	15837	12276
169	15926	12179
170	16127	12166
171	16195	12052
172	16297	11964
173	16382	11862
174	16391	11708
175	16561	11668
176	16712	11614
177	16741	11474
178	16848	11388
179	16946	11297
180	17007	11181
181	17179	11138
182	17445	11153
183	17470	11014
184	17621	10953
185	17718	10859
186	17791	10750
187	17863	10642
188	17947	10540
189	17980	10409
190	18140	10352
191	18257	10269
192	18285	10137
193	18488	10101
194	18579	10004
195	18621	9880
196	18719	9787
197	18797	9683
198	18920	9602
199	18982	9491
200	19037	9376
201	19120	9276
202	19183	9166
203	19216	9043
204	19228	8910
205	19236	8777
206	19465	8745
207	19606	8672
208	19654	8557
209	19750	8464
210	19823	8361
211	19942	8277
212	20031	8181
213	20170	8105
214	20228	7997
215	20238	7870
216	20336	7778
217	20415	7679
218	20507	7585
219	20548	7472
220	20617	7370
221	20766	7296
222	20790	7178
223	20800	7057
224	20956	6985
225	21020	6882
226	21166	6806
227	21220	6701
228	21270	6594
229	21415	6517
230	21458	6409
231	21613	6335
232	21672	6232
233	21738	6131
234	21800	6029
235	21902	5939
236	22047	5860
237	22147	5769
238	22257	5680
239	22275	5568
240	22358	5473
241	22476	5386
242	22552	5290
243	22637	5195
244	22727	5102
245	22750	4994
246	22888	4911
247	22987	4819
248	23016	4714
249	23028	4605
250	23218	4532
251	23287	4435
252	23383	4343
253	23411	4239
254	23491	4145
255	23501	4039
256	23670	3960
257	23691	3856
258	23859	3777
259	23880	3673
260	23989	3584
261	24097	3495
262	24107	3391
263	24236	3305
264	24305	3210
265	24352	3112
266	24475	3025
267	24578	2934
268	24593	2834
269	24602	2733
270	24743	2647
271	24805	2553
272	24825	2455
273	24907	2363
274	24970	2270
275	25103	2182
276	25228	2094
277	25347	2005
278	25481	1917
279	25490	1820
280	25604	1731
281	25729	1642
282	25739	1546
283	25833	1455
284	26006	1368
285	26117	1278
286	26213	1187
287	26256	1094
288	26272	999
289	26295	906
290	26516	820
291	26597	728
292	26641	636
293	26749	545
294	26871	455
295	26925	363
296	27047	273
297	27118	182
298	27195	90
299	27273	0
